News_Org,Created_Dt,Text,Compound,Positive,Neutral,Negative,Tweet_Count
BBCWorld,2018-09-27 20:30:11+00:00,RT @BBCBreaking: Tesla chief executive Elon Musk accused of fraud by the US Securities and Exchange Commission https://t.co/Qf8jtsrv8G,-0.5859,0.095,0.647,0.259,92
BBCWorld,2018-09-27 20:28:18+00:00,RT @BBCBusiness: US regulator alleges Elon Musk Tesla fraud https://t.co/8NBCt4Xfl1,-0.5859,0.0,0.703,0.297,93
BBCWorld,2018-09-27 20:00:52+00:00,"US Supreme Court nominee Brett Kavanaugh asks to be judged by standard people would want applied to ""your father, y… https://t.co/sj9t6mBV9p",0.5994,0.205,0.795,0.0,94
BBCWorld,2018-09-27 19:51:51+00:00,"""Those are some awesome women and I love all of them""

Brett Kavanaugh praises women who have supported him since a… https://t.co/Cv7KsNafJa",0.9325,0.452,0.548,0.0,95
BBCWorld,2018-09-27 19:44:16+00:00,#KavanaughHearings latest: https://t.co/aWkMrEnAg6 https://t.co/jJTSzVcpsd,0.0,0.0,1.0,0.0,96
BBCWorld,2018-09-27 19:32:48+00:00,"""I am innocent of this charge"": Brett Kavanaugh breaks down while giving testimony at Senate Judiciary Committee… https://t.co/CynWHbeMNK",0.5859,0.231,0.769,0.0,97
BBCWorld,2018-09-27 19:18:58+00:00,"RT @BBCBreaking: ""My family and my name have been totally and permanently destroyed"" - US Supreme Court nominee Brett Kavanaugh reacts to s…",0.0352,0.133,0.739,0.128,98
BBCWorld,2018-09-27 19:18:33+00:00,"RT @BBCJonSopel: #JudgeKavanaugh is coming out swinging. He sounds aggressive and angry, as he emphatically denies the accusations against…",-0.8402,0.0,0.6,0.4,99
BBCWorld,2018-09-27 18:55:27+00:00,"""I think her testimony overall has been very powerful and very compelling"" - Senator Chris Coons, speaking after Ch… https://t.co/A3dUGjXvTN",0.647,0.237,0.763,0.0,100
CBSNews,2018-09-30 02:03:05+00:00,Behind the scenes of Jeff Flake's decision to call for an FBI probe into Kavanaugh allegations… https://t.co/zlvwA3IyF8,0.0,0.0,1.0,0.0,1
CBSNews,2018-09-30 01:56:05+00:00,How the FBI will investigate the Brett Kavanaugh allegations https://t.co/mewe8JBOFW https://t.co/A5wmRhmbqn,0.0,0.0,1.0,0.0,2
CBSNews,2018-09-30 01:48:03+00:00,Kavanaugh's chances? Online markets offer a perspective on his nomination https://t.co/QjphBD8w0g https://t.co/6RPmVdW7vX,0.2023,0.153,0.847,0.0,3
CBSNews,2018-09-30 01:33:04+00:00,Indonesia earthquake kills hundreds as quake triggers 20-foot-high tsunami waves https://t.co/oXaZaqxch6 https://t.co/XgSjuXFTVo,-0.5423,0.0,0.759,0.241,4
CBSNews,2018-09-30 01:18:03+00:00,Video shows fight before fatal shooting of LSU basketball player Wayde Sims https://t.co/iNeuhNud2n https://t.co/CqdfFyyYZw,-0.7269,0.0,0.663,0.337,5
CBSNews,2018-09-30 01:03:04+00:00,Library of Congress launches online National Screening Room https://t.co/goFKD3N48W https://t.co/kTPZOe7Jla,0.0,0.0,1.0,0.0,6
CBSNews,2018-09-30 00:48:03+00:00,Ted Turner reveals he's battling Lewy body dementia in exclusive interview https://t.co/h888oIdOoI https://t.co/vQwCVdA0gU,-0.1531,0.103,0.753,0.144,7
CBSNews,2018-09-30 00:45:12+00:00,"President Trump campaigned at a rally in West Virginia, where the vulnerable Democratic senator is a key swing vote… https://t.co/6XT3CVnJQs",-0.2263,0.0,0.899,0.101,8
CBSNews,2018-09-30 00:33:03+00:00,Brett Kavanaugh wrongly claimed he could drink legally in Maryland in high school https://t.co/Jabxe8HEWA https://t.co/i9ZyEhl7FC,0.1027,0.091,0.909,0.0,9
CBSNews,2018-09-30 00:18:03+00:00,$3 billion Hoover Dam project hopes to bring power plant into 21st century https://t.co/EfUg3MjROs https://t.co/OYZdPO6NtF,0.4215,0.167,0.833,0.0,10
CBSNews,2018-09-30 00:03:03+00:00,"Jenni ""JWoww"" Farley files for divorce, husband Roger Mathews says he's going to win her back… https://t.co/UeWt4xa9Al",0.5859,0.192,0.808,0.0,11
CBSNews,2018-09-29 23:48:04+00:00,Surveillance video shows deadly ambush of rapper XXXTentacion in Florida https://t.co/jmxWIpJd5F https://t.co/moxHj7or8s,0.0,0.0,1.0,0.0,12
CBSNews,2018-09-29 23:44:05+00:00,Catholic institute accused of failing to act on McCarrick allegations https://t.co/1w5tjZ6D2m https://t.co/cz5OUvBZRF,-0.6705,0.0,0.645,0.355,13
CBSNews,2018-09-29 23:33:03+00:00,"West Virginia poverty gets worse under Trump economy, not better https://t.co/KQGRVOv2Eb https://t.co/fioTWM3Ztf",-0.8319,0.0,0.505,0.495,14
CBSNews,2018-09-29 23:18:03+00:00,Christine Blasey Ford's friend clarifies statement about alleged assault by Brett Kavanaugh https://t.co/qVQMrOXFLV https://t.co/eLLb5I6i73,0.0772,0.256,0.553,0.191,15
CBSNews,2018-09-29 23:03:03+00:00,Iran airs video of close encounter with USS Theodore Roosevelt in Strait of Hormuz https://t.co/a4VgiauMzT https://t.co/zxHPCXA1qF,0.0,0.0,1.0,0.0,16
CBSNews,2018-09-29 22:19:51+00:00,"Michelle Obama urges voters to ""take their power back"" at registration rally https://t.co/ahbqwzLJio https://t.co/lPqSuH99Ug",0.0,0.0,1.0,0.0,17
CBSNews,2018-09-29 22:00:30+00:00,A 5-year-old California kindergartener suffers from violent seizures. So her parents turned to an unlikely treatmen… https://t.co/zUoDKv0ExH,-0.7906,0.0,0.667,0.333,18
CBSNews,2018-09-29 21:49:45+00:00,"JUST IN: Elon Musk to step down as chair of Tesla board, settles with SEC for $20 million https://t.co/Kc3MnRpR0n https://t.co/nh5EiL4EkB",0.0,0.0,1.0,0.0,19
CBSNews,2018-09-29 21:39:29+00:00,Indonesia earthquake kills hundreds as quake triggers 20-foot-high tsunami waves https://t.co/cewkqa0MZ7 https://t.co/V61E1Dhrht,-0.5423,0.0,0.759,0.241,20
CBSNews,2018-09-29 21:19:36+00:00,"Iran broadcasts video of close encounter with USS Theodore Roosevelt, in likely attempt to show strength after new… https://t.co/cctmOBeCd2",0.4939,0.151,0.849,0.0,21
CBSNews,2018-09-29 21:17:14+00:00,"JUST IN: Elizabeth Warren says she will take a ""hard look"" at running for president https://t.co/xgfWjsZjDZ https://t.co/kGPAk01S0W",-0.1027,0.0,0.915,0.085,22
